age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y,previously_contacted,days_since_previous_contact,age_band,balance_band,call_duration_seconds_post_call
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1000_plus,160
50,management,married,secondary,no,49,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,180
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,60_plus,1_999,22
54,retired,married,secondary,no,529,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,1492
58,retired,married,unknown,no,96,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,616
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,negative,242
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,negative,355
44,technician,married,secondary,no,0,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,zero,225
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,zero,160
29,management,single,tertiary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,under_30,zero,363
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,266
48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,negative,253
32,management,married,tertiary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,179
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,negative,787
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,under_30,negative,145
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,174
38,management,single,tertiary,no,424,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,104
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,13
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,185
46,services,married,primary,no,179,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,1778
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,138
53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,812
57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,164
33,services,married,secondary,no,790,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,391
49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,357
51,management,married,tertiary,no,6530,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,91
60,retired,married,tertiary,no,100,no,no,unknown,5,may,1,-1,0,unknown,no,no,,60_plus,1_999,528
59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,273
55,technician,married,secondary,no,1205,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1000_plus,158
35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1000_plus,177
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,258
31,services,married,secondary,no,25,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,172
54,management,married,secondary,no,282,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,154
55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,291
43,technician,married,secondary,no,1937,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1000_plus,181
53,technician,married,secondary,no,384,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,176
44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,211
55,services,divorced,secondary,no,91,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,349
49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,zero,272
55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,208
45,admin.,single,secondary,no,206,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,193
47,services,divorced,secondary,no,164,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,212
42,technician,single,secondary,no,690,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,20
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1,-1,0,unknown,yes,no,,45_59,1000_plus,1042
46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,246
51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,529
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1,-1,0,unknown,yes,no,,45_59,1_999,1467
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1,-1,0,unknown,yes,no,,30_44,1000_plus,1389
46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,188
57,retired,married,secondary,no,486,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,180
42,management,single,secondary,no,50,no,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,48
30,technician,married,secondary,no,152,yes,yes,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,213
60,admin.,married,secondary,no,290,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,60_plus,1_999,583
60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,60_plus,1_999,221
57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,negative,173
36,management,married,tertiary,no,101,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,426
55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,287
60,retired,married,tertiary,no,81,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,60_plus,1_999,101
39,technician,married,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,203
46,management,married,tertiary,no,229,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,197
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,negative,257
53,blue-collar,married,primary,no,90,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,124
52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,229
59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,3,-1,0,unknown,no,no,,45_59,1_999,55
27,technician,single,tertiary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,under_30,zero,400
44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,197
47,technician,married,tertiary,no,151,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,190
34,admin.,married,secondary,no,61,no,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,21
59,retired,single,secondary,no,30,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,514
45,management,married,tertiary,no,523,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,849
29,services,divorced,secondary,no,31,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,under_30,1_999,194
46,technician,divorced,secondary,no,79,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,144
56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,2,-1,0,unknown,no,no,,45_59,negative,212
36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,286
59,retired,divorced,primary,no,81,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,107
44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,247
41,admin.,married,secondary,no,351,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,518
33,management,single,tertiary,no,-67,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,negative,364
59,management,divorced,tertiary,no,262,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,178
57,technician,married,primary,no,0,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,zero,98
56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,439
51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,79
34,admin.,married,unknown,no,3,yes,no,unknown,5,may,3,-1,0,unknown,no,no,,30_44,1_999,120
43,services,married,secondary,no,41,yes,yes,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,127
52,technician,married,tertiary,no,7,no,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,175
33,technician,single,secondary,no,105,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,262
29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,under_30,1_999,61
34,services,married,secondary,no,-16,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,negative,78
31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,143
55,services,married,secondary,no,2476,yes,no,unknown,5,may,1,-1,0,unknown,yes,no,,45_59,1000_plus,579
55,management,married,unknown,no,1185,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,677
32,admin.,single,secondary,no,217,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,345
38,technician,single,secondary,no,1685,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1000_plus,185
55,admin.,single,secondary,no,802,yes,yes,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,100
28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,under_30,zero,125
23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,under_30,1_999,193
32,technician,single,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,136
43,services,single,unknown,no,0,no,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,73
32,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,528
46,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,541
53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,163
34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,301
57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,46
37,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,204
59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,98
33,services,married,secondary,no,22,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,71
56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,157
48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,243
43,services,married,primary,no,3,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,186
54,blue-collar,married,primary,no,348,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,579
51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,negative,163
26,student,single,secondary,no,0,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,under_30,zero,610
40,management,married,tertiary,no,-4,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,negative,2033
39,management,married,secondary,no,18,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,85
50,technician,married,primary,no,139,no,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,114
41,services,married,secondary,no,0,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,zero,114
51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,57
60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,60_plus,1_999,238
52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,3,-1,0,unknown,no,no,,45_59,1_999,93
48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,128
48,services,married,unknown,no,1705,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,107
39,technician,single,tertiary,no,47,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,181
47,services,single,secondary,no,176,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,303
40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,5,-1,0,unknown,no,no,,30_44,1000_plus,558
45,technician,married,secondary,no,86,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,270
26,admin.,single,secondary,no,82,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,under_30,1_999,228
52,management,married,tertiary,no,271,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,99
54,technician,married,secondary,no,1378,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,240
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,2,-1,0,unknown,yes,no,,45_59,1_999,673
50,blue-collar,married,primary,no,0,no,no,unknown,5,may,3,-1,0,unknown,no,no,,45_59,zero,233
35,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,1056
44,services,married,secondary,no,1357,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1000_plus,250
53,entrepreneur,married,unknown,no,19,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,252
35,retired,single,primary,no,434,no,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,138
60,admin.,divorced,secondary,no,92,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,60_plus,1_999,130
53,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,412
48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,179
34,technician,married,secondary,no,51,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,19
54,services,married,secondary,no,214,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,458
51,management,married,secondary,no,1161,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,717
31,services,married,tertiary,no,37,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,313
35,technician,divorced,secondary,no,787,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,683
35,services,married,secondary,no,59,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,1077
38,technician,married,secondary,no,253,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,416
36,admin.,married,tertiary,no,211,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,146
58,retired,married,primary,no,235,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,167
40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1000_plus,315
54,management,married,secondary,no,4080,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,140
34,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,346
31,management,single,tertiary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,562
51,retired,married,secondary,no,2127,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,172
33,management,married,tertiary,no,377,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,217
55,management,married,tertiary,no,73,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,142
42,admin.,married,secondary,no,445,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,67
34,blue-collar,married,secondary,no,243,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,291
33,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,309
38,services,married,secondary,no,155,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,248
50,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,98
43,management,married,tertiary,no,400,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,256
61,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,60_plus,1000_plus,82
47,admin.,married,secondary,no,219,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,577
48,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,286
44,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,477
35,student,single,unknown,no,298,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,611
35,services,married,secondary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,471
50,services,married,secondary,no,5699,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1000_plus,381
41,management,married,tertiary,no,176,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,42
41,management,married,tertiary,no,517,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,251
39,services,single,unknown,no,257,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,408
42,retired,married,secondary,no,56,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,215
38,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,negative,287
53,retired,married,secondary,no,330,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,216
59,housemaid,divorced,primary,no,195,no,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,366
36,services,married,secondary,no,301,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,210
54,blue-collar,married,primary,no,-41,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,negative,288
40,technician,married,tertiary,no,483,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,168
47,unknown,married,unknown,no,28,no,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,338
53,unemployed,married,unknown,no,13,no,no,unknown,5,may,3,-1,0,unknown,no,no,,45_59,1_999,410
46,housemaid,married,primary,no,965,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,177
39,management,married,tertiary,no,378,yes,yes,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,127
40,unemployed,married,secondary,no,219,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,357
28,blue-collar,married,primary,no,324,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,under_30,1_999,175
35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,negative,300
55,retired,married,secondary,no,0,no,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,zero,136
43,technician,divorced,unknown,no,205,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,1419
48,blue-collar,married,primary,no,278,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,125
58,management,married,unknown,no,1065,yes,no,unknown,5,may,3,-1,0,unknown,no,no,,45_59,1000_plus,213
33,management,single,tertiary,no,34,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,27
36,blue-collar,married,unknown,no,1033,no,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1000_plus,238
53,services,divorced,secondary,no,1467,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,124
47,blue-collar,married,primary,no,-12,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,negative,18
31,services,married,secondary,no,388,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,730
57,entrepreneur,married,secondary,no,294,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,746
53,blue-collar,married,unknown,no,1827,no,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1000_plus,121
55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,247
45,blue-collar,married,primary,no,25,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,40
53,admin.,divorced,secondary,no,315,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,45_59,1_999,181
37,blue-collar,married,primary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,79
44,admin.,divorced,secondary,no,66,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,206
49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,negative,389
46,technician,married,secondary,no,349,yes,yes,unknown,5,may,1,-1,0,unknown,no,no,,45_59,1_999,127
43,entrepreneur,married,unknown,no,100,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,702
38,admin.,married,secondary,no,0,no,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,zero,151
43,technician,married,secondary,no,434,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,117
49,management,married,tertiary,no,3237,yes,no,unknown,5,may,3,-1,0,unknown,no,no,,45_59,1000_plus,232
42,management,married,unknown,no,275,no,no,unknown,5,may,2,-1,0,unknown,no,no,,30_44,1_999,408
22,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,2,-1,0,unknown,no,no,,under_30,zero,179
40,management,married,tertiary,no,207,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,39
39,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,1,-1,0,unknown,no,no,,30_44,1_999,282
